Date,Price,Open,High,Low,Change %
25-Mar-11,1.4084,1.4171,1.1828,1.1802,0.00%
28-Mar-11,1.4085,1.4046,1.1854,1.1809,-0.31%
29-Mar-11,1.4111,1.4081,1.1941,1.1841,-0.69%
30-Mar-11,1.4127,1.4112,1.1947,1.1871,0.24%
31-Mar-11,1.4167,1.4129,1.1939,1.1874,-0.10%
1-Apr-11,1.4231,1.4174,1.199,1.1906,-0.53%
4-Apr-11,1.4222,1.4226,1.1986,1.1885,0.66%
5-Apr-11,1.4223,1.422,1.1953,1.1882,-0.23%
6-Apr-11,1.4333,1.4217,1.1968,1.1911,-0.20%
7-Apr-11,1.4304,1.4335,1.199,1.191,-0.27%
8-Apr-11,1.4481,1.4304,1.199,1.1916,0.49%
11-Apr-11,1.4435,1.4454,1.1931,1.1868,0.23%
12-Apr-11,1.4477,1.4432,1.1917,1.1835,0.46%
13-Apr-11,1.4441,1.4477,1.1933,1.1844,-0.62%
14-Apr-11,1.4489,1.4441,1.1978,1.1894,-0.41%
15-Apr-11,1.4432,1.4488,1.2068,1.1961,-0.80%
18-Apr-11,1.4234,1.4419,1.2113,1.2042,-0.22%
19-Apr-11,1.4337,1.4224,1.2095,1.1991,0.35%
20-Apr-11,1.4518,1.4337,1.2102,1.2027,-0.22%
21-Apr-11,1.4552,1.452,1.2185,1.2062,-0.84%
22-Apr-11,1.4556,1.4552,1.2243,1.2155,0.10%
25-Apr-11,1.4581,1.456,1.2176,1.2109,0.12%
26-Apr-11,1.4644,1.4579,1.2181,1.2135,-0.04%
27-Apr-11,1.4777,1.4646,1.217,1.2091,0.31%
28-Apr-11,1.4824,1.4783,1.2145,1.2082,0.24%
29-Apr-11,1.4802,1.4828,1.2096,1.2035,0.43%
2-May-11,1.4827,1.4826,1.2111,1.2023,-0.56%
3-May-11,1.4828,1.482,1.217,1.2095,-0.19%
4-May-11,1.4824,1.4823,1.2146,1.2116,0.07%
5-May-11,1.4541,1.4829,1.2135,1.2081,-0.08%
6-May-11,1.431,1.4543,1.215,1.2112,0.10%
9-May-11,1.4364,1.4369,1.2145,1.2108,-0.01%
10-May-11,1.4407,1.4353,1.2122,1.2045,0.57%
11-May-11,1.4197,1.4406,1.2067,1.2019,0.05%
12-May-11,1.4243,1.4205,1.205,1.1952,0.67%
13-May-11,1.4121,1.4243,1.2043,1.1957,-0.60%
16-May-11,1.4154,1.4078,1.205,1.2003,-0.07%
17-May-11,1.4238,1.416,1.2089,1.2011,-0.14%
18-May-11,1.4246,1.4236,1.2146,1.2054,-0.63%
19-May-11,1.4314,1.4249,1.2156,1.2093,0.12%
20-May-11,1.4155,1.4308,1.2142,1.2079,0.11%
23-May-11,1.4051,1.4131,1.217,1.2057,-0.43%
24-May-11,1.4104,1.4045,1.2177,1.2107,0.19%
25-May-11,1.4087,1.4101,1.2184,1.2115,-0.25%
26-May-11,1.4139,1.4085,1.2191,1.2151,0.04%
27-May-11,1.4324,1.4137,1.2175,1.2103,0.48%
30-May-11,1.428,1.4314,1.2158,1.2076,-0.20%
31-May-11,1.4396,1.4284,1.2146,1.2074,0.43%
1-Jun-11,1.4314,1.4393,1.2091,1.2054,-0.02%
2-Jun-11,1.4491,1.4322,1.2163,1.2074,-0.64%
3-Jun-11,1.4637,1.4494,1.2179,1.2111,-0.01%
6-Jun-11,1.4577,1.4628,1.2224,1.214,-0.41%
7-Jun-11,1.4691,1.4577,1.2211,1.2136,0.48%
8-Jun-11,1.4577,1.4691,1.2227,1.2132,-0.56%
9-Jun-11,1.4508,1.4577,1.2284,1.2191,-0.42%
10-Jun-11,1.4348,1.451,1.2346,1.2244,-0.45%
13-Jun-11,1.4417,1.4329,1.235,1.2265,0.25%
14-Jun-11,1.4441,1.442,1.2307,1.2246,0.38%
15-Jun-11,1.4168,1.4442,1.231,1.2223,0.29%
16-Jun-11,1.4213,1.4164,1.2217,1.221,-0.02%
17-Jun-11,1.4311,1.4213,1.2309,1.2209,-0.66%
20-Jun-11,1.4309,1.4274,1.2311,1.2246,0.39%
21-Jun-11,1.4407,1.4306,1.2276,1.2207,0.27%
22-Jun-11,1.4354,1.4396,1.2251,1.2181,0.08%
